category_href,pageNo,Armacad Link,Title,Image,Deadline,Disciplines,Eligible Countries,Host Country,Study Levels,Opportunities
/opportunities/grants,1,https://armacad.info/2018-11-27--l-afrique-excelle-accelerator-program-for-start-ups-in-francophone-countries-2019-france-mali,"L’Afrique Excelle Accelerator Program for Start-ups in Francophone Countries 2019, France and Mali",https://armacad.info/images/2018/11/27/xa10a4bd8bb9bb2af.png.pagespeed.ic.79s36tQS2D.jpg,"
January 14, 2019 ","['business', 'education', 'energy', 'finance', 'health', 'media', 'technology', 'water-science']","['benin', 'burkina-faso', 'burundi', 'cameroon', 'central-african-republic', 'chad', 'comoros', 'congo', 'cote-divoire-ivory-coast', 'democratic-republic-of-the-congo', 'djibouti', 'equatorial-guinea', 'gabon', 'guinea-bissau', 'madagascar', 'mali', 'mauritania', 'mauritius', 'niger', 'rwanda', 'senegal', 'togo']","['france', 'mali']",[],['grants']
/opportunities/grants,1,https://armacad.info/2018-11-30--margaret-mcnamara-education-grant-programs-2019-20-usa-canada-south-africa,"US-Canada, Africa and Trinity Washington University Grant Programs 2019-20, USA/Canada/South Africa",https://armacad.info/images/2018/11/30/x8217337dae545410.png.pagespeed.ic.rkWRILkbJB.jpg,"
January 15, 2019 ","['education', 'gender-studies']",['international'],"['canada', 'south-africa', 'united-states']",[],['grants']
/opportunities/grants,1,https://armacad.info/2018-12-21--international-mobility-fund-for-artists-and-cultural-actors-grant-program-2019-egypt,"International Mobility Fund for Artists and Cultural Actors - Grant Program 2019, Egypt",https://armacad.info/images/2018/12/21/x4ff5e60f3dd3a84f.png.pagespeed.ic.8rOszJMdKY.jpg,"
January 15, 2019 ","['arts', 'culture']",['international'],['egypt'],[],['grants']
/opportunities/grants,1,https://armacad.info/2018-12-21--archaeological-institute-of-america-s-grant-program-2019-usa,"Richard C. MacDonald Iliad Endowment for Archaeological Research Grant Program 2019, USA",https://armacad.info/images/2018/12/21/xaf2fbc49166a5499.png.pagespeed.ic.iscfe0VG9F.png,"
January 15, 2019 ","['archaeology', 'history']",['international'],['united-states'],"['phd', 'research']",['grants']
/opportunities/grants,2,https://armacad.info/2018-12-21--united-nations-democracy-fund-project-proposal-guidelines-13-th-round-of-funding-15-december-2018-15-january-2019,Call for Proposals - United Nations Democracy Fund for Civil Society Organizations 2019,https://armacad.info/images/2018/12/21/xbf72f7d63fe245de.png.pagespeed.ic.RxReSFlNSS.png,"
January 15, 2019 ","['gender-studies', 'governance', 'human-rights', 'information-security', 'law', 'media']",['international'],[],[],['grants']
/opportunities/grants,2,https://armacad.info/2018-12-13--regional-youth-cooperation-office-grant-programs-2019,Regional Youth Cooperation Office Grant Programs 2019,https://armacad.info/images/2018/12/13/x9add1b29f883cdac.png.pagespeed.ic.urEHEK71Bu.png,"
January 25, 2019 ","['conflict-studies', 'culture', 'democracy-studies', 'environmental-studies', 'peace-studies', 'policy', 'political-sciences', 'religious-studies', 'social-sciences']","['albania', 'bosnia-and-herzegovina', 'kosovo', 'macedonia', 'montenegro', 'serbia']","['albania', 'bosnia-and-herzegovina', 'kosovo', 'macedonia', 'montenegro', 'serbia']",[],['grants']
/opportunities/grants,2,https://armacad.info/2018-12-21--poqr-dramashnorhneri-mrcoyt-em-zbosashrjotyan-hamar-hamaynqahen-gyoghakan-zbosashrjotyon-ev-mshakotayin-mijocaromner-gegharqoniqi-ev-vayoc-dzori-marzerom,Փոքր դրամաշնորհների մրցույթ - «ԵՄ զբոսաշրջության համար. համայնքահեն գյուղական զբոսաշրջություն և մշակութային միջոցառումներ Գեղարքունիքի և Վայոց Ձորի մարզերում» ծրագիր,https://armacad.info/images/2018/12/21/x085720667e427c13.png.pagespeed.ic.rj1zNohvGg.jpg,"
January 25, 2019 ",[],['armenia'],['armenia'],[],['grants']
/opportunities/grants,2,https://armacad.info/university-of-oxford--2018-12-11--heritage-seed-fund-new-internal-grant-2019-uk,"Heritage Seed Fund New Internal Grant Program 2019, UK",https://armacad.info/images/2018/12/11/x3cf6ba320e74894e.png.pagespeed.ic.Y78hLhePMU.png,"
January 28, 2019 ","['8', 'history']",['international'],['united-kingdom'],['research'],['grants']
/opportunities/grants,2,https://armacad.info/2018-11-16--library-research-grants-at-princeton-university-library-2019-2020-usa,"Princeton University Library International Research Grants 2019-2020, USA",https://armacad.info/images/2018/11/16/xdb52a7bd7929526a.png.pagespeed.ic.L-bhC-HA4a.png,"
January 31, 2019 ","['culture', 'history', 'humanities']",['international'],['united-states'],['research'],['grants']
/opportunities/grants,2,https://armacad.info/2018-11-23--mediterranean-archaeological-trust-mat-grants-2019-2020-uk,"Mediterranean Archaeological Trust (MAT) Grants 2019-2020, UK",https://armacad.info/images/2018/11/23/x807e1eea55768791.png.pagespeed.ic.V-zePYfvTc.jpg,"
January 31, 2019 ","['archaeology', 'arts', 'culture', 'history']",['international'],['united-kingdom'],[],['grants']
